taxonKey,scientificName,n_occurrences_natura,n_sites,n_ms,year_min,year_max,n_years,temporal_span,temporal_completeness
5824863,"Rugulopteryx okamurae (E.Y.Dawson) I.K.Hwang, W.J.Lee & H.S.Kim, 2009",474,42,4,2016,2025,9,9,0.9
5828232,Cenchrus setaceus (Forssk.) Morrone,256,84,6,2005,2025,16,20,0.7619047619047619
6063677,Gymnocoronis spilanthoides DC.,5,4,2,2015,2024,4,9,0.4
6157026,"Trachemys scripta elegans (Wied, 1838)",4712,544,19,1978,2025,37,47,0.7708333333333334
6157035,"Trachemys scripta troostii (Holbrook, 1836)",686,104,8,2003,2025,19,22,0.8260869565217391
6167502,"Pseudorasbora parva parvula Nichols, 1929",1,1,1,2016,2016,1,0,1.0
6247411,"Vespa velutina nigrithorax Buysson, 1905",1935,495,8,2006,2025,19,19,0.95
6391908,Persicaria wallichii Greuter & Burdet,110,27,3,2008,2025,16,17,0.8888888888888888
6712479,Ailanthus altissima var. sutchuenensis (Dode) Rehder & E.H.Wilson,2,2,1,2022,2022,1,0,1.0
7062200,"Trachemys scripta scripta (Schoepff, 1792)",2378,383,15,1991,2025,26,34,0.7428571428571429
7193434,"Fundulus heteroclitus heteroclitus (Linnaeus, 1766)",2,2,1,2017,2017,1,0,1.0
7223856,Ludwigia peploides subsp. peploides,2,1,1,2022,2023,2,1,1.0
7287606,Hakea sericea Schrad. & J.C.Wendl.,14,12,3,2013,2023,5,10,0.45454545454545453
7965247,"Plotosus lineatus (Thunberg, 1787)",1,1,1,2024,2024,1,0,1.0
7978544,Hydrocotyle ranunculoides L.fil.,1660,73,7,1998,2025,27,27,0.9642857142857143
8070043,"Ludwigia grandiflora (Michx.) Zardini, H.Y.Gu & P.H.Raven",2,2,1,1995,1995,1,0,1.0
8343116,Aconogonon polystachyum (Wall. ex Meisn.) M.Král,2,1,1,2021,2021,1,0,1.0
8609297,Ludwigia uruguayensis (Cambess.) H.Hara,2,2,1,1986,1986,1,0,1.0
8848208,Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal,32,14,7,1994,2025,15,31,0.46875
8879526,"Procambarus fallax f. virginalis Martin, Dorn, Kawai, van der Heiden & Scholtz, 2010",2,2,1,2020,2020,1,0,1.0
8909595,"Faxonius limosus (Rafinesque, 1817)",1892,464,16,1905,2025,42,120,0.34710743801652894
8979506,"Faxonius rusticus (Girard, 1852)",104,6,1,2022,2022,1,0,1.0
9442269,"Procambarus virginalis Lyko, 2017",17,10,6,2019,2025,5,6,0.7142857142857143
9799308,"Lampropeltis getula (Linnaeus, 1766)",2,2,1,2014,2014,1,0,1.0
10504616,"Urva auropunctata (Hodgson, 1836)",9,4,1,2016,2025,4,9,0.4
10602587,"Eutamias sibiricus (Laxmann, 1769)",2330,11,2,1976,2025,33,49,0.66
11342546,Lagarosiphon major (Ridl.) Moss ex V.A.Wager,529,4,1,1992,2024,24,32,0.7272727272727273
12058060,"Ictalurus melas (Rafinesque, 1820)",1,1,1,2022,2022,1,0,1.0
