taxonKey,scientificName,n_occurrences_natura,n_sites,n_ms,year_min,year_max,n_years,temporal_span,temporal_completeness
2482001,"Oceanodroma castro (Harcourt, 1851)",55,8,1,1990,2006,6,16,0.35294117647058826
2482012,"Oceanodroma leucorhoa (Vieillot, 1818)",930,46,4,1960,2025,50,65,0.7575757575757576
2482059,"Podiceps auritus (Linnaeus, 1758)",57980,1128,23,1847,2025,87,178,0.4860335195530726
2482100,"Burhinus oedicnemus (Linnaeus, 1758)",28550,659,15,1935,2025,64,90,0.7032967032967034
2482552,"Pyrrhocorax pyrrhocorax (Linnaeus, 1758)",20096,698,7,1969,2025,51,56,0.8947368421052632
2484880,"Sitta krueperi Pelzeln, 1863",577,7,1,1999,2025,27,26,1.0
2484886,"Sitta whiteheadi Sharpe, 1884",591,12,1,1993,2025,24,32,0.7272727272727273
2490274,"Anthus campestris (Linnaeus, 1758)",30517,965,21,1918,2025,73,107,0.6759259259259259
2490604,"Lullula arborea (Linnaeus, 1758)",94995,2971,25,1914,2025,77,111,0.6875
2490613,"Melanocorypha calandra (Linnaeus, 1766)",13567,230,13,1951,2025,58,74,0.7733333333333333
2490674,"Chersophilus duponti (Vieillot, 1824)",3536,44,2,1850,2025,22,175,0.125
2490681,"Calandrella brachydactyla (Leisler, 1814)",15217,385,21,1956,2025,58,69,0.8285714285714286
2491469,"Emberiza cineracea C.L.Brehm, 1855",1855,9,3,2002,2025,23,23,0.9583333333333334
2491482,"Emberiza hortulana Linnaeus, 1758",20650,919,21,1887,2025,79,138,0.5683453237410072
2491490,"Emberiza caesia Cretzschmar, 1827",3690,58,4,1987,2025,29,38,0.7435897435897436
2492522,"Saxicola dacotiae (Meade-Waldo, 1889)",1019,20,1,1982,2025,28,43,0.6363636363636364
2492601,"Ficedula albicollis (Temminck, 1815)",25768,636,21,1910,2025,70,115,0.603448275862069
2492605,"Ficedula parva (Bechstein, 1792)",34983,1162,24,1912,2025,72,113,0.631578947368421
2492608,"Ficedula semitorquata (Homeyer, 1885)",353,64,8,1975,2025,22,50,0.43137254901960786
2492854,"Lanius minor Gmelin, 1788",6533,345,18,1891,2025,61,134,0.45185185185185184
2492855,"Lanius nubicus Lichtenstein, 1823",2599,88,6,1984,2025,31,41,0.7380952380952381
2492947,"Sylvia rueppelli Temminck, 1823",2,2,1,2017,2017,1,0,1.0
