taxonKey,scientificName,n_occurrences_natura,n_sites,n_ms,year_min,year_max,n_years,temporal_span,temporal_completeness
3085412,Dianthus plumarius L.,62,40,11,1836,2025,21,189,0.11052631578947368
3085413,Dianthus armeria L.,2365,731,18,1862,2025,93,163,0.5670731707317073
3085418,Dianthus chinensis L.,1,1,1,1998,1998,1,0,1.0
3085419,Dianthus sylvestris Wulfen,629,192,9,1849,2025,39,176,0.22033898305084745
3085420,Dianthus caryophyllus L.,48,38,9,1885,2024,20,139,0.14285714285714285
3085421,Dianthus barbatus L.,1059,452,23,1935,2025,45,90,0.4945054945054945
3085422,Dianthus arenarius L.,1508,77,11,1890,2025,51,135,0.375
3085423,Dianthus seguieri Vill.,489,133,5,1945,2025,26,80,0.32098765432098764
3085424,Dianthus deltoides L.,15503,1949,22,1820,2025,95,205,0.46116504854368934
3087419,Pericallis hadrosoma (Svent.) B.Nord.,4,3,1,,,0,,
3091224,Klasea lycopifolia (Vill.) Á.Löve & D.Löve,89,17,5,2000,2025,14,25,0.5384615384615384
3094889,Onopordum carduelium Bolle,3,3,1,2022,2022,1,0,1.0
3094899,Onopordum macracanthum Schousb.,79,35,1,1984,2025,20,41,0.47619047619047616
3097041,Cheirolophus ghomerythus (Svent.) Holub,4,3,1,1990,1990,1,0,1.0
3097051,Cheirolophus junonianus (Svent.) Holub,2,1,1,2013,2014,2,1,1.0
3097073,Cheirolophus duranii (Burchard) Holub,4,4,1,,,0,,
3097098,Cheirolophus crassifolius (Bertol.) Susanna,1,1,1,2024,2024,1,0,1.0
3097241,Senecio auricula Bourgeau ex Coss.,135,33,1,1978,2022,22,44,0.4888888888888889
3097249,"Senecio subalpinus K.Koch, 1834",45,15,3,1992,2024,14,32,0.42424242424242425
3098613,Tripolium sorrentinoi (Tod.) Raimondo & Greuter,4,2,1,2017,2022,2,5,0.3333333333333333
3104525,Argyranthemum thalassophilum (Svent.) Humphries,6,2,1,2015,2019,3,4,0.6
3105531,Andryala crithmifolia Aiton,1,1,1,2022,2022,1,0,1.0
3106738,Senecio L.,1654,552,20,1848,2025,50,177,0.2808988764044944
3106740,Senecio thapsoides DC.,7,5,1,1852,2025,3,173,0.017241379310344827
3106784,Senecio deltoideus Less.,3,2,1,2008,2025,3,17,0.16666666666666666
3106872,Senecio bollei Sunding & G.Kunkel,6,4,1,2006,2019,4,13,0.2857142857142857
3106876,Senecio nemoralis Dusén,2,2,1,2004,2004,1,0,1.0
3107060,Senecio hercynicus Herborg,240,111,9,1952,2025,32,73,0.43243243243243246
3107106,Senecio eriopus Willk.,9,6,1,1926,2009,6,83,0.07142857142857142
3107107,Senecio transiens (Rouy) Jeanm.,893,31,2,1849,2024,59,175,0.3352272727272727
3107156,Senecio lividus L.,1337,239,4,1933,2025,50,92,0.5376344086021505
3107166,Senecio provincialis (L.) Druce,18,5,2,2018,2025,6,7,0.75
3107168,Senecio gerardi Gren. & Godr.,327,40,1,1886,2023,34,137,0.2463768115942029
3107170,Senecio pyrenaicus L.,1592,97,4,1834,2025,64,191,0.3333333333333333
3107171,Senecio tournefortii Lapeyr.,1,1,1,,,0,,
3107177,Senecio pterophorus DC.,138,14,3,1997,2025,13,28,0.4482758620689655
3107187,Senecio tamoides DC.,5,4,1,2005,2024,3,19,0.15
